no_runs,no_rbi,no_bb,yr_major,cr_runs,cr_rbi,cr_bb,logsalar,team_Baltimore,team_Boston,team_California,team_Chicago,team_Cincinnati,team_Cleveland,team_Detroit,team_Houston,team_KansasCity,team_LosAngeles,team_Milwaukee,team_Minneapolis,team_Montreal,team_NewYork,team_Oakland,team_Philadelphia,team_Pittsburgh,team_SanDiego,team_SanFrancisco,team_Seattle,team_StLouis,team_Texas,team_Toronto,league_National,division_West,position_2B,position_3B,position_C,position_CF,position_LF,position_OF,position_RF,position_SS,position_other,BA,CBA,HRR,CHRR,FP
31,26,27,9,192,186,161,6.239300711,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.2623762376237624,0.2489339019189765,0.0198019801980198,0.0079957356076759,0.9694444444444444
48,61,47,4,205,204,203,6.3099182782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2703349282296651,0.2592592592592592,0.0311004784688995,0.0271164021164021,0.9694323144104804
30,11,22,6,309,103,207,6.551080335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2510460251046025,0.2627511591962905,0.0,0.0020607934054611,0.9784172661870504
29,27,30,13,376,290,238,5.4806389233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2193877551020408,0.255338904363974,0.0357142857142857,0.011142061281337,0.9398496240601504
20,15,11,3,20,16,11,4.318981948863509,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2131147540983606,0.208955223880597,0.0163934426229508,0.0149253731343283,1.0
89,75,73,15,1045,993,732,6.6528630294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.278169014084507,0.2817302925136341,0.0352112676056338,0.0219385225582548,0.9753086419753086
24,8,15,5,65,23,39,5.1647859739,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2421052631578947,0.2129436325678496,0.0105263157894736,0.0104384133611691,0.9457627118644067
57,43,65,12,643,658,653,6.662807906237174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2555282555282555,0.2824383718708197,0.0147420147420147,0.0191094974202178,0.9910802775024776
16,22,14,8,67,82,56,4.9052747784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.2519685039370078,0.2475928473177441,0.0629921259842519,0.0330123796423658,0.991150442477876
72,48,65,1,72,48,65,4.605170186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.2227602905569007,0.2227602905569007,0.0387409200968523,0.0387409200968523,0.9829931972789115
55,43,62,1,55,43,62,4.7449321284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2558685446009389,0.2558685446009389,0.0070422535211267,0.0070422535211267,0.9948051948051948
48,49,43,15,555,702,533,6.385067040886402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2217194570135746,0.2509194249414911,0.0158371040723981,0.0160481444332999,0.98787210584344
60,62,74,6,242,251,240,6.3969296552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.2457627118644068,0.2541580041580041,0.0338983050847457,0.0348232848232848,0.9947916666666666
73,102,40,18,1008,1072,402,6.6550116871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2670906200317965,0.2924976258309592,0.0286168521462639,0.0194681861348528,0.988691437802908
92,51,70,6,442,198,317,6.6398758338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2776831345826235,0.2771799628942486,0.0068143100511073,0.0063079777365491,0.9932735426008968
32,18,22,7,291,108,180,6.5629143221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.2253086419753086,0.2542723977213879,0.0123456790123456,0.0067322630761263,0.986842105263158
50,56,40,10,246,327,166,6.6200732065,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.2721518987341772,0.2591162591162591,0.0210970464135021,0.0261690261690261,0.9842995169082126
92,37,81,5,349,182,308,6.4377516497,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.2763636363636363,0.274263431542461,0.0109090909090909,0.0138648180242634,0.9736408566721582
90,95,90,14,763,734,784,6.8023947633,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.2670565302144249,0.2657181311286291,0.0389863547758284,0.0319169390501826,0.9890909090909092
42,30,39,17,1033,864,1087,6.30758799676363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.268370607028754,0.2660377358490566,0.0287539936102236,0.032510885341074,0.9802816901408452
55,36,22,3,80,46,31,4.7004803658,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.2577565632458234,0.2521150592216582,0.0143198090692124,0.0135363790186125,0.9831223628691984
70,87,52,9,545,652,337,6.933970957994309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.278353402408289,0.0522243713733075,0.060207224866984,0.9946236559139784
83,80,56,5,219,208,136,6.4175489424,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2881646655231561,0.2746051032806804,0.0291595197255574,0.0267314702308626,0.9413145539906104
23,25,12,7,126,132,66,5.7037824747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2401960784313725,0.2352941176470588,0.0294117647058823,0.0206264323911382,0.9893617021276596
38,60,30,14,859,803,571,6.7452363495,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.2796833773087071,0.3070726599001128,0.0263852242744063,0.023521830191719,0.9097744360902256
19,10,17,4,156,86,107,5.520915480020476,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2236024844720497,0.231718898385565,0.0,0.0028490028490028,0.948051948051948
24,25,15,2,34,29,18,4.4998096703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.2238805970149253,0.2228571428571428,0.0186567164179104,0.0142857142857142,0.9881656804733728
31,53,30,16,784,901,560,6.076663672241594,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2832369942196532,0.2731270082868256,0.0144508670520231,0.0397429392863182,0.0
34,12,14,1,34,12,14,4.373177260653056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.2531120331950207,0.2531120331950207,0.0041493775933609,0.0041493775933609,0.971264367816092
15,21,33,2,20,29,45,4.2121275979,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2265193370165746,0.2155172413793103,0.005524861878453,0.0172413793103448,0.9861111111111112
21,18,15,18,796,627,483,5.874529657811687,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.25,0.2631866630226838,0.0,0.0062858704564088,0.9739583333333334
23,14,14,9,371,230,195,6.154276296434692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.285,0.2718600953895072,0.03,0.0182829888712241,0.9859154929577464
32,19,9,4,86,76,32,5.1929568509,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2119815668202765,0.2305475504322766,0.032258064516129,0.0461095100864553,0.996996996996997
19,29,30,11,486,493,608,6.117028743872923,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2061855670103092,0.2555582118097059,0.0360824742268041,0.0153000239062873,0.994269340974212
28,26,22,6,108,117,118,5.7203117766,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2677165354330709,0.2362362362362362,0.0078740157480314,0.021021021021021,0.989821882951654
57,49,33,3,113,121,80,5.3706380281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.3173076923076923,0.2929184549356223,0.016826923076923,0.0257510729613733,0.9328358208955224
34,32,9,5,117,107,51,5.511410582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2780487804878049,0.2539682539682539,0.0390243902439024,0.0423280423280423,0.9393939393939394
46,75,41,16,987,1089,431,6.815252126022424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2583025830258302,0.3000422594731652,0.022140221402214,0.0331032539794337,0.9882659713168188
71,70,84,6,352,342,289,6.7031881132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.2775665399239543,0.2700151057401813,0.0247148288973384,0.0290785498489426,0.97196261682243
42,63,22,17,1003,977,619,6.7742238864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2210065645514223,0.2709707100138016,0.0306345733041575,0.0430915503757092,0.9907407407407408
30,29,23,2,32,32,27,4.248495242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2476635514018691,0.2610619469026549,0.0093457943925233,0.0088495575221238,0.9747899159663864
48,55,52,15,539,699,568,6.535683937948425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.2575411913814955,0.0446428571428571,0.0496831432192648,1.0
80,72,39,9,634,563,319,7.0900768358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2842639593908629,0.2918713711478338,0.0321489001692047,0.0252344796784278,0.981651376146789
45,53,39,12,747,666,526,6.5147126909,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2506203473945409,0.2774757281553398,0.0297766749379652,0.0322330097087378,0.9847094801223242
49,85,20,6,99,138,64,6.0282785202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.2518518518518518,0.2431578947368421,0.0444444444444444,0.0305263157894736,0.9827586206896552
28,25,35,4,164,179,194,5.8289456176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.2377049180327868,0.249438202247191,0.0368852459016393,0.0367041198501872,0.9873417721518988
24,39,21,14,441,401,333,6.148875107581568,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2595744680851063,0.2620988283239939,0.0127659574468085,0.0089149261334691,0.9915254237288136
32,41,12,12,409,321,170,6.0322873416,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.2492012779552715,0.2586851950828434,0.0191693290734824,0.0093532870122928,0.9780564263322884
98,81,70,6,529,472,313,7.2078598714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2822966507177033,0.288785046728972,0.0398724082934609,0.0414330218068535,0.982312925170068
58,69,16,1,58,69,16,4.4998096703,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2716346153846153,0.2716346153846153,0.0576923076923076,0.0576923076923076,0.9646643109540636
21,23,15,16,698,661,777,5.6167710977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2838709677419355,0.2464183381088825,0.0387096774193548,0.0147790680138742,0.9791666666666666
27,15,11,4,116,64,57,5.4380793089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.2372881355932203,0.242152466367713,0.0,0.000896860986547,0.9614243323442137
31,15,22,4,118,69,114,5.4161004022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.2453703703703703,0.2267818574514039,0.0046296296296296,0.009719222462203,0.9533898305084746
25,19,27,19,964,1013,762,6.318352433183839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2396694214876033,0.2783476183785303,0.0165289256198347,0.0340030911901081,1.0
93,94,62,17,1141,1179,727,6.8564619846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2376068376068376,0.2626557116353035,0.0529914529914529,0.0417439703153988,0.0
12,17,14,4,61,74,52,4.894132499872074,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.193717277486911,0.2108667529107374,0.0209424083769633,0.0206985769728331,0.9816933638443937
29,22,21,3,57,40,39,4.3174881135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.2663316582914573,0.2334630350194552,0.0251256281407035,0.0155642023346303,0.96875
67,86,45,4,99,103,78,4.6539603502,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.272552783109405,0.2515337423312883,0.0383877159309021,0.0269938650306748,0.9381720430107529
44,27,44,12,612,344,422,6.2917157160249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.269689737470167,0.2745316681534344,0.0023866348448687,0.0071364852809991,0.9953271028037384
42,30,26,17,950,909,690,5.7683209958,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.2604501607717042,0.2665211592094095,0.0096463022508038,0.0121256214380987,0.9740932642487048
18,21,38,3,33,32,55,4.465546901174261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2246376811594203,0.2172131147540983,0.0579710144927536,0.0491803278688524,0.9851301115241636
69,96,52,14,712,815,548,6.7452363495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.255859375,0.261268000748083,0.05078125,0.0413315878062464,0.9654178674351584
78,85,91,18,1175,1152,1380,6.2822667469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2406311637080868,0.2508697332817935,0.0571992110453648,0.0447107331529442,0.9978213507625272
86,97,97,15,1082,949,989,6.8387620504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2589792060491493,0.2679777811139469,0.0491493383742911,0.0436871340639543,0.9830508474576272
57,46,13,9,461,301,112,6.7452363495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.2806603773584906,0.2864968501780334,0.0141509433962264,0.0087647219939742,0.9845559845559846
55,29,39,4,196,110,117,5.3471075307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.2763532763532763,0.28060413354531,0.0113960113960113,0.012718600953895,0.9872881355932204
24,33,30,8,144,149,153,5.827994228237499,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.282051282051282,0.2574257425742574,0.0256410256410256,0.019040365575019,0.9883720930232558
59,47,39,6,285,274,186,5.7838251823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2654639175257732,0.2552897884084636,0.0386597938144329,0.0367985280588776,0.9794871794871794
37,29,23,4,123,108,55,5.6167710977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2831858407079646,0.2725563909774436,0.0117994100294985,0.0103383458646616,0.97239263803681
70,94,33,16,901,1210,608,6.520862196651167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2103386809269162,0.235884379212221,0.0623885918003565,0.0661973940392391,0.9840954274353876
49,35,43,15,1019,608,820,6.1092475828,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2745098039215686,0.2631912533671367,0.0274509803921568,0.0244018380605292,0.9292035398230089
117,113,53,5,349,401,171,7.5883236773,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3515509601181684,0.3315339631129105,0.0457902511078286,0.0418353576248313,0.9959541469993256
23,20,12,5,156,158,67,5.612859757395766,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2026431718061674,0.2445283018867924,0.0308370044052863,0.0332075471698113,0.9791666666666666
89,83,75,11,813,822,617,7.5496091652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.265472312703583,0.2766593581821805,0.0472312703583061,0.0530197329081124,0.9809523809523808
50,39,56,9,575,528,635,6.3969296552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.2522796352583586,0.2476489028213166,0.0273556231003039,0.0378787878787878,0.9929577464788732
89,116,56,14,978,1093,495,6.9485775935,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.2731554160125589,0.3008770625836182,0.0486656200941915,0.036717704771815,0.9695945945945946
44,45,47,2,61,70,63,4.7004803658,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2928571428571428,0.264018691588785,0.0571428571428571,0.058411214953271,0.987012987012987
21,29,22,16,746,805,875,5.560681631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.2645161290322581,0.2473655019412091,0.0774193548387096,0.0334627472730634,0.9942857142857144
67,57,48,4,160,123,122,6.163314804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2489082969432314,0.2207407407407407,0.0283842794759825,0.0207407407407407,0.9724349157733536
39,46,16,5,156,159,76,6.0672675105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.2643312101910828,0.2779684282772821,0.0414012738853503,0.0192175703500343,0.9930675909878682
76,93,72,4,292,343,267,7.1066061377,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2589473684210526,0.2602209944751381,0.0568421052631578,0.0596685082872928,0.975206611570248
35,35,32,1,35,35,32,4.248495242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2460567823343848,0.2460567823343848,0.0220820189274447,0.0220820189274447,0.8652849740932642
76,96,61,3,87,110,71,4.9767337424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2700587084148728,0.277027027027027,0.0489236790606653,0.0472972972972973,0.9534883720930232
24,21,29,8,258,192,162,6.283457594487622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.2482014388489208,0.2717652717652717,0.0107913669064748,0.0153920153920153,0.9723756906077348
54,58,36,12,287,294,227,6.3885614055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.3115183246073298,0.2784810126582278,0.0340314136125654,0.0192217533989685,0.9598214285714286
90,104,77,14,1135,1234,791,7.529116405,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2619469026548672,0.2858515163990668,0.0424778761061946,0.0418553588582407,0.9836601307189542
27,29,14,15,753,596,259,6.197467749779209,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2563176895306859,0.2767137096774194,0.0072202166064981,0.0100806451612903,0.9874055415617128
97,71,68,3,156,119,99,5.7037824747,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.2771084337349397,0.2587904360056259,0.0650602409638554,0.0632911392405063,0.9752650176678446
70,47,36,7,335,174,258,6.1944053911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.2594339622641509,0.2553990610328638,0.035377358490566,0.0178403755868544,0.9900332225913622
61,84,78,10,884,1015,709,7.8079166289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305050505050505,0.2985419630156472,0.0343434343434343,0.0488975817923186,0.9886561954624782
